anio;pais_id;pais_nombre;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas
2014;200;ARG;1;Homicidios dolosos;3178;3227
2014;200;ARG;2;Homicidios dolosos en grado de tentativa;1776;1891
2014;200;ARG;3;Muertes en accidentes viales;3611;4608
2014;200;ARG;4;Homicidios culposos por otros hechos;1682;1750
2014;200;ARG;5;Lesiones dolosas;178611;190737
2014;200;ARG;6;Lesiones culposas en siniestros viales ;80026;95031
2014;200;ARG;7;Lesiones culposas por otros hechos;30482;32376
2014;200;ARG;8;Otros delitos contra las personas  ;24646;25673
2014;200;ARG;9;Delitos contra el honor;856;719
2014;200;ARG;10;Violaciones;3755;3916
2014;200;ARG;11;Otros delitos contra la integridad sexual;9724;10555
2014;200;ARG;12;Delitos contra el estado civil;208;
2014;200;ARG;13;Amenazas;190941;
2014;200;ARG;14;Otros delitos contra la libertad;11832;
2014;200;ARG;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);459289;
2014;200;ARG;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);29785;
2014;200;ARG;17;Robos agravados por el resultado de lesiones y/o muertes ;24640;
2014;200;ARG;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;2063;
2014;200;ARG;19;Hurtos;287063;
2014;200;ARG;20;Tentativas de hurto;11718;
2014;200;ARG;21;Otros delitos contra la propiedad;108320;
2014;200;ARG;22;Delitos contra la seguridad pública;8686;
2014;200;ARG;23;Delitos contra el orden público;15208;
2014;200;ARG;24;Delitos contra la seguridad de la nación;97;
2014;200;ARG;25;Delitos contra los poderes públicos y el orden constitucional;603;
2014;200;ARG;26;Delitos contra la administración pública;30616;
2014;200;ARG;27;Delitos contra la fe pública;6984;
2014;200;ARG;28;Ley 23.737 (estupefacientes);32884;
2014;200;ARG;29;Otros delitos previstos en leyes especiales;37768;
2014;200;ARG;30;Figuras contravencionales;113783;
2015;200;ARG;1;Homicidios dolosos;2744;2837
2015;200;ARG;2;Homicidios dolosos en grado de tentativa;1601;1733
2015;200;ARG;3;Muertes en accidentes viales;3630;4340
2015;200;ARG;4;Homicidios culposos por otros hechos;1087;1209
2015;200;ARG;5;Lesiones dolosas;181321;189830
2015;200;ARG;6;Lesiones culposas en siniestros viales ;84782;98095
2015;200;ARG;7;Lesiones culposas por otros hechos;29680;30766
2015;200;ARG;8;Otros delitos contra las personas  ;46813;47809
2015;200;ARG;9;Delitos contra el honor;433;451
2015;200;ARG;10;Violaciones;3484;3746
2015;200;ARG;11;Otros delitos contra la integridad sexual;12630;13520
2015;200;ARG;12;Delitos contra el estado civil;156;
2015;200;ARG;13;Amenazas;193944;
2015;200;ARG;14;Otros delitos contra la libertad;11621;
2015;200;ARG;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);433617;
2015;200;ARG;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);28934;
2015;200;ARG;17;Robos agravados por el resultado de lesiones y/o muertes ;9416;
2015;200;ARG;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;1101;
2015;200;ARG;19;Hurtos;271921;
2015;200;ARG;20;Tentativas de hurto;9755;
2015;200;ARG;21;Otros delitos contra la propiedad;107586;
2015;200;ARG;22;Delitos contra la seguridad pública;9009;
2015;200;ARG;23;Delitos contra el orden público;12181;
2015;200;ARG;24;Delitos contra la seguridad de la nación;71;
2015;200;ARG;25;Delitos contra los poderes públicos y el orden constitucional;418;
2015;200;ARG;26;Delitos contra la administración pública;34298;
2015;200;ARG;27;Delitos contra la fe pública;6853;
2015;200;ARG;28;Ley 23.737 (estupefacientes);31541;
2015;200;ARG;29;Otros delitos previstos en leyes especiales;37457;
2015;200;ARG;30;Figuras contravencionales;96344;
2016;200;ARG;1;Homicidios dolosos;2604;2625
2016;200;ARG;2;Homicidios dolosos en grado de tentativa;1657;1779
2016;200;ARG;3;Muertes en accidentes viales;3914;4252
2016;200;ARG;4;Homicidios culposos por otros hechos;463;492
2016;200;ARG;5;Lesiones dolosas;142986;149077
2016;200;ARG;6;Lesiones culposas en siniestros viales ;92824;104667
2016;200;ARG;7;Lesiones culposas por otros hechos;13146;13728
2016;200;ARG;8;Otros delitos contra las personas  ;55010;55802
2016;200;ARG;9;Delitos contra el honor;627;637
2016;200;ARG;10;Violaciones;3576;3717
2016;200;ARG;11;Otros delitos contra la integridad sexual;8848;9266
2016;200;ARG;12;Delitos contra el estado civil;97;
2016;200;ARG;13;Amenazas;169351;
2016;200;ARG;14;Otros delitos contra la libertad;12165;
2016;200;ARG;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);427473;
2016;200;ARG;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);30268;
2016;200;ARG;17;Robos agravados por el resultado de lesiones y/o muertes ;9605;
2016;200;ARG;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;1005;
2016;200;ARG;19;Hurtos;272128;
2016;200;ARG;20;Tentativas de hurto;10392;
2016;200;ARG;21;Otros delitos contra la propiedad;101213;
2016;200;ARG;22;Delitos contra la seguridad pública;15761;
2016;200;ARG;23;Delitos contra el orden público;9248;
2016;200;ARG;24;Delitos contra la seguridad de la nación;83;
2016;200;ARG;25;Delitos contra los poderes públicos y el orden constitucional;428;
2016;200;ARG;26;Delitos contra la administración pública;37259;
2016;200;ARG;27;Delitos contra la fe pública;6921;
2016;200;ARG;28;Ley 23.737 (estupefacientes);37559;
2016;200;ARG;29;Otros delitos previstos en leyes especiales;36065;
2016;200;ARG;30;Figuras contravencionales;103874;
2017;200;ARG;1;Homicidios dolosos;2235;2279
2017;200;ARG;2;Homicidios dolosos en grado de tentativa;1527;1705
2017;200;ARG;3;Muertes en accidentes viales;4225;4776
2017;200;ARG;4;Homicidios culposos por otros hechos;573;642
2017;200;ARG;5;Lesiones dolosas;142120;159961
2017;200;ARG;6;Lesiones culposas en siniestros viales ;97372;112394
2017;200;ARG;7;Lesiones culposas por otros hechos;7780;8230
2017;200;ARG;8;Otros delitos contra las personas  ;53263;54127
2017;200;ARG;9;Delitos contra el honor;469;472
2017;200;ARG;10;Violaciones;3716;3921
2017;200;ARG;11;Otros delitos contra la integridad sexual;10510;11213
2017;200;ARG;12;Delitos contra el estado civil;90;
2017;200;ARG;13;Amenazas;177347;
2017;200;ARG;14;Otros delitos contra la libertad;11357;
2017;200;ARG;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);395741;
2017;200;ARG;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);29084;
2017;200;ARG;17;Robos agravados por el resultado de lesiones y/o muertes ;9620;
2017;200;ARG;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;1168;
2017;200;ARG;19;Hurtos;254581;
2017;200;ARG;20;Tentativas de hurto;10177;
2017;200;ARG;21;Otros delitos contra la propiedad;103265;
2017;200;ARG;22;Delitos contra la seguridad pública;29458;
2017;200;ARG;23;Delitos contra el orden público;9147;
2017;200;ARG;24;Delitos contra la seguridad de la nación;64;
2017;200;ARG;25;Delitos contra los poderes públicos y el orden constitucional;637;
2017;200;ARG;26;Delitos contra la administración pública;42902;
2017;200;ARG;27;Delitos contra la fe pública;9323;
2017;200;ARG;28;Ley 23.737 (estupefacientes);47655;
2017;200;ARG;29;Otros delitos previstos en leyes especiales;38261;
2017;200;ARG;30;Figuras contravencionales;162250;
